ko,name,taxonomy
"T40360","Vaccinia virus","Viruses; Varidnaviria; Bamfordvirae; Nucleocytoviricota; Pokkesviricetes; Chitovirales; Poxviridae; Chordopoxvirinae; Orthopoxvirus"
"T40015","Marburg marburgvirus","Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Marburgvirus"
"nse","Neorickettsia sennetsu","Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Anaplasmataceae; Neorickettsia"
"T40069","SARS coronavirus","Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus"
"cim","Coccidioides immitis","Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Onygenales; Onygenales incertae sedis; Coccidioides"
"cpw","Coccidioides posadasii","Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Onygenales; Onygenales incertae sedis; Coccidioides"
"T40331","Coxsackievirus A16","Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Picornaviridae; Enterovirus; Enterovirus A"
"T40343","Enterovirus A71","Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Picornaviridae; Enterovirus; Enterovirus A"
"afm","Aspergillus fumigatus","Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus; Aspergillus subgen. Fumigati"
"afv","Aspergillus flavus","Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus; Aspergillus subgen. Circumdati"
"act","Aspergillus clavatus","Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus; Aspergillus subgen. Fumigati"
"T40126","Orf virus","Viruses; Varidnaviria; Bamfordvirae; Nucleocytoviricota; Pokkesviricetes; Chitovirales; Poxviridae; Chordopoxvirinae; Parapoxvirus"
"ech","Ehrlichia chaffeensis","Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Anaplasmataceae; Ehrlichia"
"gvg","Gardnerella vaginalis","Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Gardnerella"
"T40084","Human parvovirus B19","Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Quintoviricetes; Piccovirales; Parvoviridae; Parvovirinae; Erythroparvovirus"
"ssn","Shigella sonnei","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Shigella"
"T40361","SARS-CoV-2","Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus"
"tgo","Toxoplasma gondii","Eukaryota; Sar; Alveolata; Apicomplexa; Conoidasida; Coccidia; Eucoccidiorida; Eimeriorina; Sarcocystidae; Toxoplasma"
"ype","Yersinia pestis CO92 (biovar Orientalis)","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia"
"ypk","Yersinia pestis KIM (biovar Mediaevalis)","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia"
"ypp","Yersinia pestis Pestoides F","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia"
"ypg","Yersinia pestis Angola","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia"
"ypd","Yersinia pestis D106004","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia"
"ypx","Yersinia pestis D182038","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia"
"pbn","Paracoccidioides brasiliensis","Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Onygenales; Onygenales incertae sedis; Paracoccidioides"
"pbl","Paracoccidioides lutzii","Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Onygenales; Onygenales incertae sedis; Paracoccidioides"
"abe","Trichophyton benhamiae","Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Onygenales; Arthrodermataceae; Trichophyton"
"tve","Trichophyton verrucosum","Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Onygenales; Arthrodermataceae; Trichophyton"
"T40103","Enterovirus A (Coxsackievirus A)","Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Picornaviridae; Enterovirus"
"T40077","Macacine herpesvirus 1","Viruses; Duplodnaviria; Heunggongvirae; Peploviricota; Herviviricetes; Herpesvirales; Herpesviridae; Alphaherpesvirinae; Simplexvirus"
"T40083","Monkeypox virus","Viruses; Varidnaviria; Bamfordvirae; Nucleocytoviricota; Pokkesviricetes; Chitovirales; Poxviridae; Chordopoxvirinae; Orthopoxvirus"
"T40060","Powassan virus","Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus"
"T40061","Tick-borne encephalitis virus","Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus"
"bmic","Babesia microti","Eukaryota; Sar; Alveolata; Apicomplexa; Aconoidasida; Piroplasmida; Babesiidae; Babesia"
"bbo","Babesia bovis","Eukaryota; Sar; Alveolata; Apicomplexa; Aconoidasida; Piroplasmida; Babesiidae; Babesia"
"T40016","Hantaan virus","Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Hantaviridae; Mammantavirinae; Orthohantavirus"
"T40017","Seoul virus","Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Hantaviridae; Mammantavirinae; Orthohantavirus"
"T40018","Dobrava-Belgrade virus","Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Hantaviridae; Mammantavirinae; Orthohantavirus"
"T40019","Puumala virus","Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Hantaviridae; Mammantavirinae; Orthohantavirus"
"cun","Corynebacterium ulcerans","Bacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium"
"nfa","Nocardia farcinica","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Nocardia"
"ncy","Nocardia cyriacigeorgica","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Nocardia"
"llo","Legionella longbeachae","Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Legionellaceae; Legionella"
"lsh","Legionella sainthelensi","Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Legionellaceae; Legionella"
"bcy","Bacillus cytotoxicus","Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group"
"fva","Fusobacterium varium","Bacteria; Fusobacteria; Fusobacteriales; Fusobacteriaceae; Fusobacterium"
"T40033","Measles virus","Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Paramyxoviridae; Orthoparamyxovirinae; Morbillivirus"
"spq","Salmonella enterica serovar Paratyphi B","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella"
"sei","Salmonella enterica serovar Paratyphi C","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella"
"bqu","Bartonella quintana","Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bartonellaceae; Bartonella"
"mle","Mycobacterium leprae","Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium"
"mlb","Mycobacterium leprae","Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium"
"tpr","Tsukamurella paurometabola","Bacteria; Actinobacteria; Corynebacteriales; Tsukamurellaceae; Tsukamurella"
"mho","Mycoplasma hominis","Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma"
"uue","Ureaplasma urealyticum","Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Ureaplasma"
"aap","Aggregatibacter aphrophilus","Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Aggregatibacter"
"lgv","Lactococcus garvieae","Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus"
"T40082","Variola virus","Viruses; Varidnaviria; Bamfordvirae; Nucleocytoviricota; Pokkesviricetes; Chitovirales; Poxviridae; Chordopoxvirinae; Orthopoxvirus"
"nai","Necator americanus","Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Strongylida; Ancylostomatoidea; Ancylostomatidae; Bunostominae; Necator"
"T40010","Lassa mammarenavirus","Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Arenaviridae; Mammarenavirus"
"bpt","Bordetella petrii","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Bordetella"
"ccm","Capnocytophaga canimorsus","Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Capnocytophaga"
"bpa","Bordetella parapertussis","Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Bordetella"
"bhe","Bartonella henselae (Cat-scratch disease)","Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bartonellaceae; Bartonella"
"bbk","Bartonella bacilliformis (Oroya fever and bacillary angiomatosis)","Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bartonellaceae; Bartonella"
"bgr","Bartonella grahami (Neuroretinitis)","Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bartonellaceae; Bartonella"
"banc","Candidatus Bartonella ancashi","Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bartonellaceae; Bartonella"
"nbr","Nocardia brasiliensis","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Nocardia"
"nda","Nocardiopsis dassonvillei","Bacteria; Actinobacteria; Streptosporangiales; Nocardiopsaceae; Nocardiopsis"
"sec","Salmonella enterica subsp. enterica serovar Choleraesuis","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella"
"see","Salmonella enterica subsp. enterica serovar Newport","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella"
"sew","Salmonella enterica subsp. enterica serovar Schwarzengrund","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella"
"sed","Salmonella enterica subsp. enterica serovar Dublin","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella"
"set","Salmonella enterica subsp. enterica serovar Enteritidis","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella"
"seec","Salmonella enterica subsp. enterica Serovar Cubana","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella"
"ses","Salmonella enterica subsp. arizonae serovar 62:z4","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella"
"mmi","Mycobacterium marinum","Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium"
"mmm","Mycobacterium sp. MOTT36Y","Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium; unclassified Mycobacterium"
"mhad","Mycobacterium haemophilum","Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium"
"mshg","Mycobacterium shigaense","Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium simiae complex"
"mfj","Mycobacterium florentinum","Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium simiae complex"
"mnv","Mycobacterium noviomagense","Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium"
"mdr","Mycobacterium doricum","Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium"
"mjd","Mycobacterium sp. JDM601","Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycolicibacter"
"maic","Mycolicibacterium aichiense","Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium"
"mij","Mycolicibacterium insubricum","Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium"
"malv","Mycolicibacterium alvei","Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium"
"maub","Mycolicibacterium aubagnense","Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium"
"bal","Bacillus cereus","Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group"
"bbu","Borrelia burgdorferi","Bacteria; Spirochaetes; Spirochaetales; Borreliaceae; Borreliella"
"mgl","Malassezia globosa","Eukaryota; Fungi; Dikarya; Basidiomycota; Ustilaginomycotina; Malasseziomycetes; Malasseziales; Malasseziaceae; Malassezia"
"mrt","Malassezia restricta","Eukaryota; Fungi; Dikarya; Basidiomycota; Ustilaginomycotina; Malasseziomycetes; Malasseziales; Malasseziaceae; Malassezia"
"sam","Staphylococcus aureus","Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus"
"req","Rhodococcus equi","Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus"
"smar","Serratia marcescens","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia"
"spe","Serratia proteamaculans","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia"
"T40097","Human papillomavirus type 6b","Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Alphapapillomavirus"
"T40098","Human papillomavirus type 10","Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Alphapapillomavirus"
"T40080","Human herpesvirus 5 (Human cytomegalovirus)","Viruses; Duplodnaviria; Heunggongvirae; Peploviricota; Herviviricetes; Herpesvirales; Herpesviridae; Betaherpesvirinae; Cytomegalovirus"
"T40070","Rubella virus","Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Alsuviricetes; Hepelivirales; Matonaviridae; Rubivirus"
"svi","Saccharomonospora viridis","Bacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Saccharomonospora"
"pvx","Plasmodium vivax","Eukaryota; Sar; Alveolata; Apicomplexa; Aconoidasida; Haemosporida; Plasmodiidae; Plasmodium; Plasmodium (Plasmodium)"
"pkn","Plasmodium knowlesi H","Eukaryota; Sar; Alveolata; Apicomplexa; Aconoidasida; Haemosporida; Plasmodiidae; Plasmodium; Plasmodium (Plasmodium)"
"lma","Leishmania major","Eukaryota; Discoba; Euglenozoa; Kinetoplastea; Metakinetoplastina; Trypanosomatida; Trypanosomatidae; Leishmaniinae; Leishmania"
"lif","Leishmania infantum","Eukaryota; Discoba; Euglenozoa; Kinetoplastea; Metakinetoplastina; Trypanosomatida; Trypanosomatidae; Leishmaniinae; Leishmania"
"lmi","Leishmania mexicana MHOM/GT/2001/U1103","Eukaryota; Discoba; Euglenozoa; Kinetoplastea; Metakinetoplastina; Trypanosomatida; Trypanosomatidae; Leishmaniinae; Leishmania"
"ldo","Leishmania donovani","Eukaryota; Discoba; Euglenozoa; Kinetoplastea; Metakinetoplastina; Trypanosomatida; Trypanosomatidae; Leishmaniinae; Leishmania"
"lbz","Leishmania braziliensis","Eukaryota; Discoba; Euglenozoa; Kinetoplastea; Metakinetoplastina; Trypanosomatida; Trypanosomatidae; Leishmaniinae; Leishmania; Leishmania braziliensis species complex"
"lpan","Leishmania panamensis","Eukaryota; Discoba; Euglenozoa; Kinetoplastea; Metakinetoplastina; Trypanosomatida; Trypanosomatidae; Leishmaniinae; Leishmania; Leishmania guyanensis species complex"
"T40078","Human herpesvirus 3","Viruses; Duplodnaviria; Heunggongvirae; Peploviricota; Herviviricetes; Herpesvirales; Herpesviridae; Alphaherpesvirinae; Varicellovirus"
"mct","Moraxella catarrhalis","Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Moraxella"
"hdu","Haemophilus ducreyi","Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Haemophilus"
"cko","Citrobacter koseri (infants and immunocompromised)","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter"
"mtl","Mycobacterium tuberculosis","Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex"
"ssa","Streptococcus sanguinis","Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus"
"sgo","Streptococcus gordonii","Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus"
"raj","Rothia aeria","Bacteria; Actinobacteria; Micrococcales; Micrococcaceae; Rothia"
"eav","Enterococcus avium","Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus"
"std","Streptococcus pseudopneumoniae","Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus"
"scf","Streptococcus parasanguinis","Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus"
"tcr","Trypanosoma cruzi","Eukaryota; Discoba; Euglenozoa; Kinetoplastea; Metakinetoplastina; Trypanosomatida; Trypanosomatidae; Trypanosoma; Schizotrypanum"
"T40104","Enterovirus B","Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Picornaviridae; Enterovirus"
"T40105","Enterovirus C","Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Picornaviridae; Enterovirus"
"T40106","Enterovirus D","Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Picornaviridae; Enterovirus"
"ehi","Entamoeba histolytica","Eukaryota; Amoebozoa; Evosea; Archamoebae; Mastigamoebida; Entamoebidae; Entamoeba"
"aha","Aeromonas hydrophila","Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas"
"acav","Aeromonas caviae","Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas"
"T40075","Human herpesvirus 6B","Viruses; Duplodnaviria; Heunggongvirae; Peploviricota; Herviviricetes; Herpesvirales; Herpesviridae; Betaherpesvirinae; Roseolovirus"
"T40076","Human herpesvirus 7","Viruses; Duplodnaviria; Heunggongvirae; Peploviricota; Herviviricetes; Herpesvirales; Herpesviridae; Betaherpesvirinae; Roseolovirus"
"T40090","Middle East respiratory syndrome coronavirus","Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Merbecovirus"
"cpv","Cryptosporidium parvum","Eukaryota; Sar; Alveolata; Apicomplexa; Conoidasida; Coccidia; Eucoccidiorida; Eimeriorina; Cryptosporidiidae; Cryptosporidium"
"cho","Cryptosporidium hominis","Eukaryota; Sar; Alveolata; Apicomplexa; Conoidasida; Coccidia; Eucoccidiorida; Eimeriorina; Cryptosporidiidae; Cryptosporidium"
"sez","Streptococcus equi","Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus"
"mul","Mycobacterium ulcerans","Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium"
"smm","Schistosoma mansoni","Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Platyhelminthes; Trematoda; Digenea; Strigeidida; Schistosomatoidea; Schistosomatidae; Schistosoma"
"shx","Schistosoma haematobium","Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Platyhelminthes; Trematoda; Digenea; Strigeidida; Schistosomatoidea; Schistosomatidae; Schistosoma"
"T40334","Human enterovirus 70","Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Picornaviridae; Enterovirus; Enterovirus D"
"T40332","Human coxsackievirus A24","Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Picornaviridae; Enterovirus; Enterovirus C"
"tva","Trichomonas vaginalis","Eukaryota; Metamonada; Parabasalia; Trichomonadida; Trichomonadidae; Trichomonas"
"aph","Anaplasma phagocytophilum","Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Anaplasmataceae; Anaplasma; phagocytophilum group"
"msym","Malassezia sympodialis","Eukaryota; Fungi; Dikarya; Basidiomycota; Ustilaginomycotina; Malasseziomycetes; Malasseziales; Malasseziaceae; Malassezia"
"eoj","Escherichia coli O26:H11","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia"
"eoi","Escherichia coli O111:H-","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia"
"eoh","Escherichia coli O103:H2","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia"
"T40012","Zaire ebolavirus","Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Ebolavirus"
"T40014","Sudan ebolavirus","Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Ebolavirus"
"T40125","Tai Forest ebolavirus","Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Ebolavirus"
"T40121","Bundibugyo virus","Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Ebolavirus"
"hhm","Helicobacter heilmannii","Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter"
"T40051","Merkel cell polyomavirus (MCPyV)","Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Sepolyvirales; Polyomaviridae; Alphapolyomavirus"
"mmk","Morganella morganii subsp. morganii KT","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Morganellaceae; Morganella"
"bre","Borrelia recurrentis","Bacteria; Spirochaetes; Spirochaetales; Borreliaceae; Borrelia"
"bdu","Borrelia duttonii","Bacteria; Spirochaetes; Spirochaetales; Borreliaceae; Borrelia"
"bhr","Borrelia hermsii","Bacteria; Spirochaetes; Spirochaetales; Borreliaceae; Borrelia"
"btu","Borrelia turicatae","Bacteria; Spirochaetes; Spirochaetales; Borreliaceae; Borrelia"
"bcw","Borrelia crocidurae","Bacteria; Spirochaetes; Spirochaetales; Borreliaceae; Borrelia"
"bgh","Blastomyces gilchristii","Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Onygenales; Ajellomycetaceae; Blastomyces"
"rak","Rickettsia akari","Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Rickettsiaceae; Rickettsieae; Rickettsia; spotted fever group"
"ecg","Escherichia coli O127:H6","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia"
"egl","Echinococcus granulosus","Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Platyhelminthes; Cestoda; Eucestoda; Cyclophyllidea; Taeniidae; Echinococcus; Echinococcus granulosus group"
"hil","Haemophilus influenzae (nontypeable)","Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Haemophilus"
"T40330","Chapare mammarenavirus","Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Arenaviridae; Mammarenavirus"
"T40333","Lujo mammarenavirus","Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Arenaviridae; Mammarenavirus"
